Step,commformer_1c3s5z_single_lf_seed1 - incre_win_rate,commformer_1c3s5z_single_lf_seed2 - incre_win_rate,commformer_1c3s5z_single_lf_seed3 - incre_win_rate,happo_1c3s5z_10v10_seed1 - incre_win_rate,happo_1c3s5z_10v10_seed2 - incre_win_rate,happo_1c3s5z_10v10_seed3 - incre_win_rate,mappo_1c3s5z_10v10_seed1 - incre_win_rate,mappo_1c3s5z_10v10_seed2 - incre_win_rate,mappo_1c3s5z_10v10_seed3 - incre_win_rate,mat_1c3s5z_10v10_seed1 - incre_win_rate,mat_1c3s5z_10v10_seed2 - incre_win_rate,mat_1c3s5z_10v10_seed3 - incre_win_rate,commformer_1c3s5z_single_lf_seed1_FC - incre_win_rate,commformer_1c3s5z_single_lf_seed1_FC - incre_win_rate__MIN,commformer_1c3s5z_single_lf_seed1_FC - incre_win_rate__MAX
611200,0.833962264,0.833962264,0.833962264,0.86440678,0.87854251,0.834710744,0.75,0.538043478,0.709090909,0.050420168,0.511520737,0.511520737,0.902834008097166,0.902834008097166,0.902834008097166
627200,0.83984375,0.83984375,0.83984375,0.824267782,0.859437751,0.854251012,0.776190476,0.634408602,0.75462963,0.132352941,0.597222222,0.597222222,0.8152610441767069,0.8152610441767069,0.8152610441767069
643200,0.828996283,0.828996283,0.828996283,0.848360656,0.829166667,0.860655738,0.754716981,0.62755102,0.765765766,0.256578947,0.713656388,0.713656388,0.8048780487804879,0.8048780487804879,0.8048780487804879
659200,0.847058824,0.847058824,0.847058824,0.851851852,0.779166667,0.858921162,0.751219512,0.600961538,0.747706422,0.195652174,0.76371308,0.76371308,0.8645418326693227,0.8645418326693227,0.8645418326693227
675200,0.83203125,0.83203125,0.83203125,0.887550201,0.87704918,0.90438247,0.76744186,0.585365854,0.740566038,0.361290323,0.76419214,0.76419214,0.7967479674796748,0.7967479674796748,0.7967479674796748
691200,0.772,0.772,0.772,0.821576763,0.842519685,0.891891892,0.781553398,0.588235294,0.785046729,0.371069182,0.719148936,0.719148936,0.8032786885245902,0.8032786885245902,0.8032786885245902
707200,0.877470356,0.877470356,0.877470356,0.842105263,0.855421687,0.885826772,0.764423077,0.673170732,0.78280543,0.453416149,0.723684211,0.723684211,0.8089430894308943,0.8089430894308943,0.8089430894308943
723200,0.842105263,0.842105263,0.842105263,0.869047619,0.87250996,0.903100775,0.752380952,0.668269231,0.789719626,0.344827586,0.736401674,0.736401674,0.8166666666666667,0.8166666666666667,0.8166666666666667
739200,0.794466403,0.794466403,0.794466403,0.854166667,0.832653061,0.938697318,0.789215686,0.651515152,0.819444444,0.375,0.786885246,0.786885246,0.8506224066390041,0.8506224066390041,0.8506224066390041
755200,0.862204724,0.862204724,0.862204724,0.915384615,0.83935743,0.957692308,0.732718894,0.685279188,0.823255814,0.454545455,0.753303965,0.753303965,0.8087649402390438,0.8087649402390438,0.8087649402390438
771200,0.87804878,0.87804878,0.87804878,0.888888889,0.866396761,0.918918919,0.786363636,0.564356436,0.855855856,0.4,0.723404255,0.723404255,0.8294573643410853,0.8294573643410853,0.8294573643410853
787200,0.888030888,0.888030888,0.888030888,0.930232558,0.903474903,0.934615385,0.774647887,0.711711712,0.820754717,0.468926554,0.721030043,0.721030043,0.8617886178861789,0.8617886178861789,0.8617886178861789
803200,0.844621514,0.844621514,0.844621514,0.926356589,0.881889764,0.925490196,0.833333333,0.662162162,0.743243243,0.494791667,0.718061674,0.718061674,0.8702290076335878,0.8702290076335878,0.8702290076335878
819200,0.873563218,0.873563218,0.873563218,0.85770751,0.898039216,0.924,0.770642202,0.743362832,0.81981982,0.505681818,0.665217391,0.665217391,0.8320610687022901,0.8320610687022901,0.8320610687022901
835200,0.788235294,0.788235294,0.788235294,0.93359375,0.894941634,0.926640927,0.806603774,0.742358079,0.795555556,0.464968153,0.630630631,0.630630631,0.8740458015267175,0.8740458015267175,0.8740458015267175
851200,0.843137255,0.843137255,0.843137255,0.908366534,0.885375494,0.915662651,0.803652968,0.731601732,0.831896552,0.392638037,0.727272727,0.727272727,0.806949806949807,0.806949806949807,0.806949806949807
867200,0.846441948,0.846441948,0.846441948,0.889328063,0.879844961,0.894957983,0.792626728,0.723004695,0.791855204,0.479289941,0.640495868,0.640495868,0.8365019011406845,0.8365019011406845,0.8365019011406845
883200,0.864,0.864,0.864,0.884920635,0.937956204,0.938461538,0.774193548,0.783783784,0.857142857,0.292993631,0.525581395,0.525581395,0.8431372549019608,0.8431372549019608,0.8431372549019608
899200,0.872,0.872,0.872,0.87109375,0.919847328,0.936329588,0.782978723,0.771300448,0.827586207,0.428571429,0.22173913,0.22173913,0.88,0.88,0.88
915200,0.862903226,0.862903226,0.862903226,0.894736842,0.921933086,0.940074906,0.848214286,0.746606335,0.853448276,0.35625,0.138888889,0.138888889,0.8731343283582089,0.8731343283582089,0.8731343283582089
931200,0.904761905,0.904761905,0.904761905,0.865853659,0.943609023,0.940520446,0.78280543,0.798206278,0.837004405,0.424050633,0.125,0.125,0.9015151515151515,0.9015151515151515,0.9015151515151515
947200,0.899628253,0.899628253,0.899628253,0.892430279,0.928838951,0.943609023,0.735159817,0.746724891,0.82173913,0.350282486,0.099099099,0.099099099,0.8487084870848709,0.8487084870848709,0.8487084870848709
963200,0.8671875,0.8671875,0.8671875,0.921259843,0.876447876,0.940740741,0.802816901,0.787234043,0.814159292,0.429319372,0.099099099,0.099099099,0.8605577689243028,0.8605577689243028,0.8605577689243028
979200,0.881422925,0.881422925,0.881422925,0.87755102,0.91221374,0.956521739,0.753488372,0.787610619,0.791111111,0.413173653,0.173913043,0.173913043,0.9015151515151515,0.9015151515151515,0.9015151515151515
995200,0.888030888,0.888030888,0.888030888,0.87654321,0.938931298,0.959854015,0.813953488,0.733050847,0.80952381,0.407185629,0.192488263,0.192488263,0.8571428571428571,0.8571428571428571,0.8571428571428571
1011200,0.791505792,0.791505792,0.791505792,0.917695473,0.954198473,0.948529412,0.849137931,0.847107438,0.845132743,0.427710843,0.231818182,0.231818182,0.8807692307692307,0.8807692307692307,0.8807692307692307
1027200,0.887596899,0.887596899,0.887596899,0.90513834,0.937984496,0.955719557,0.826484018,0.81512605,0.809954751,0.411428571,0.228571429,0.228571429,0.8901515151515151,0.8901515151515151,0.8901515151515151
1043200,0.917910448,0.917910448,0.917910448,0.933070866,0.935849057,0.952727273,0.852017937,0.890688259,0.741784038,0.469273743,0.340248963,0.340248963,0.8808664259927798,0.8808664259927798,0.8808664259927798
1059200,0.917602996,0.917602996,0.917602996,0.92,0.896,0.958333333,0.853881279,0.87854251,0.716894977,0.426900585,0.36437247,0.36437247,0.8416988416988417,0.8416988416988417,0.8416988416988417
1075200,0.894339623,0.894339623,0.894339623,0.9348659,0.945054945,0.926923077,0.839285714,0.868312757,0.799126638,0.507936508,0.507633588,0.507633588,0.9166666666666666,0.9166666666666666,0.9166666666666666
1091200,0.915129151,0.915129151,0.915129151,0.918604651,0.952727273,0.971223022,0.852941176,0.835390947,0.738738739,0.470588235,0.547244094,0.547244094,0.9038461538461539,0.9038461538461539,0.9038461538461539
1107200,0.881226054,0.881226054,0.881226054,0.897233202,0.947761194,0.947761194,0.872807018,0.869918699,0.763392857,0.476190476,0.620408163,0.620408163,0.9128787878787878,0.9128787878787878,0.9128787878787878
1123200,0.890625,0.890625,0.890625,0.926640927,0.935018051,0.971326165,0.816513761,0.883534137,0.727699531,0.413173653,0.68487395,0.68487395,0.8841698841698842,0.8841698841698842,0.8841698841698842
1139200,0.883018868,0.883018868,0.883018868,0.912350598,0.933823529,0.97833935,0.848888889,0.856,0.812227074,0.428571429,0.766129032,0.766129032,0.8868613138686131,0.8868613138686131,0.8868613138686131
1155200,0.93258427,0.93258427,0.93258427,0.881422925,0.92481203,0.952898551,0.860169492,0.826612903,0.855855856,0.546961326,0.730923695,0.730923695,0.875,0.875,0.875
1171200,0.935606061,0.935606061,0.935606061,0.87250996,0.923357664,0.981412639,0.827433628,0.862348178,0.87012987,0.524861878,0.682539683,0.682539683,0.8966789667896679,0.8966789667896679,0.8966789667896679
1187200,0.936802974,0.936802974,0.936802974,0.930769231,0.955882353,0.971014493,0.846153846,0.87295082,0.797413793,0.580808081,0.621276596,0.621276596,0.9230769230769231,0.9230769230769231,0.9230769230769231
1203200,0.954545455,0.954545455,0.954545455,0.927756654,0.954225352,0.978798587,0.860759494,0.858299595,0.814159292,0.536231884,0.603603604,0.603603604,0.9247311827956989,0.9247311827956989,0.9247311827956989
1219200,0.913857678,0.913857678,0.913857678,0.9140625,0.960714286,0.956989247,0.888888889,0.89958159,0.808888889,0.581818182,0.582222222,0.582222222,0.9222614840989399,0.9222614840989399,0.9222614840989399
1235200,0.936090226,0.936090226,0.936090226,0.926070039,0.9566787,0.968641115,0.873417722,0.924302789,0.777777778,0.576036866,0.680672269,0.680672269,0.9119718309859155,0.9119718309859155,0.9119718309859155
1251200,0.893700787,0.893700787,0.893700787,0.913385827,0.928301887,0.963768116,0.897119342,0.898373984,0.760180995,0.600917431,0.641255605,0.641255605,0.8960573476702509,0.8960573476702509,0.8960573476702509
1267200,0.953405018,0.953405018,0.953405018,0.92481203,0.964285714,0.978873239,0.87654321,0.868852459,0.747706422,0.6359447,0.620853081,0.620853081,0.921146953405018,0.921146953405018,0.921146953405018
1283200,0.97080292,0.97080292,0.97080292,0.880658436,0.960288809,0.957894737,0.874476987,0.883817427,0.746666667,0.626728111,0.700440529,0.700440529,0.9454545454545454,0.9454545454545454,0.9454545454545454
1299200,0.95,0.95,0.95,0.885057471,0.954225352,0.992857143,0.877637131,0.916666667,0.757709251,0.637681159,0.721238938,0.721238938,0.9321428571428572,0.9321428571428572,0.9321428571428572
1315200,0.928057554,0.928057554,0.928057554,0.942528736,0.945652174,0.964788732,0.87755102,0.893280632,0.826666667,0.48019802,0.68161435,0.68161435,0.8808664259927798,0.8808664259927798,0.8808664259927798
1331200,0.928571429,0.928571429,0.928571429,0.907335907,0.971631206,0.964539007,0.847107438,0.896,0.831896552,0.429292929,0.578680203,0.578680203,0.9078014184397163,0.9078014184397163,0.9078014184397163
